554,2,5,14
555,3,2,15
556,0,2,8
557,7,6,13
558,0,0,0
559,1,6,6
560,1,0,11
561,0,2,12
562,8,1,23
563,5,1,19
564,1,2,14
565,1,3,17
566,5,0,20
567,4,6,12
568,8,3,21
569,2,1,14
570,3,0,20
571,3,0,20
572,0,2,12
573,8,0,9
574,13,2,27
575,1,0,6
576,7,12,28
577,7,12,28
578,0,0,0
579,1,0,6
580,5,4,20
581,3,6,24
582,2,0,7
583,7,3,25
584,1,2,5
585,6,6,11
586,0,0,0
587,0,4,5
588,0,11,23
589,0,2,9
590,0,4,5
591,0,0,0
592,2,1,12
593,4,13,30
594,6,7,19
595,0,2,6
596,0,0,0
597,2,5,25
598,0,1,17
599,9,2,24
600,4,4,7
601,1,5,18
602,13,8,16
603,0,0,0
604,2,0,13
605,10,2,11
606,5,0,4
607,5,1,9
608,4,3,7
609,2,0,10
610,2,4,7
611,11,0,18
612,0,0,0
613,6,3,27
614,0,0,5
615,0,0,0
616,4,0,14
617,0,0,4
618,0,2,8
619,7,0,8
620,6,0,21
621,0,4,14
622,10,7,24
623,1,5,8
624,9,3,23
625,7,3,12
626,6,9,22
627,0,2,8
628,5,8,23
629,1,4,9
630,2,2,15
631,2,2,11
632,0,0,0
633,0,0,0
634,10,2,28
635,0,0,0
636,3,0,5
637,9,4,20
638,0,0,0
639,2,4,13
640,5,6,22
641,5,13,29
642,0,2,8
643,7,3,23
644,1,1,15
645,1,10,22
646,9,2,15
647,9,1,17
648,0,0,0
649,8,5,9
650,7,11,26
651,7,11,26
652,0,2,8
653,5,1,23
654,13,4,22
655,6,8,23
656,3,1,19
657,0,3,10
658,2,0,5
659,3,7,30
660,0,0,0
661,3,8,20
662,2,8,25
663,0,1,7
664,5,5,19
665,7,7,23
666,7,10,28
667,4,1,25
668,3,2,12
669,10,1,21
670,0,0,0
671,9,2,12
672,9,6,27
673,2,12,31
674,1,1,10
675,21,1,30
676,1,8,12
677,0,6,30
678,0,0,0
679,9,6,27
680,8,8,44
681,1,2,9
682,7,4,18
683,0,2,13
684,1,2,7
685,14,1,16
686,7,3,25
687,0,0,0
688,3,9,23
689,4,3,11
690,12,2,13
691,5,3,13
692,6,0,21
693,0,0,0
694,0,1,9
695,0,0,0
696,13,0,19
697,0,2,7
698,1,1,10
699,4,5,23
700,13,1,27
701,0,0,8
702,4,1,21
703,14,1,23
704,3,9,32
705,6,5,26
706,6,6,25
707,1,4,13
708,7,2,10
709,14,3,25
710,15,10,28
711,4,0,7
712,3,2,24
713,2,8,25
714,2,1,10
715,0,2,8
716,0,0,0
717,9,8,21
718,4,1,17
719,8,6,41
720,4,6,23
721,4,0,18
722,0,0,0
723,7,1,22
724,0,1,10
725,0,0,0
726,6,0,25
727,1,1,11
728,5,6,12
729,3,11,23
730,0,0,0
731,5,0,7
732,0,0,0
733,6,6,18
734,4,2,13
735,17,2,27
736,7,1,26
737,0,0,0
738,6,4,21
739,8,2,24
740,2,2,9
741,8,1,11
742,5,1,12
743,4,2,13
744,14,0,13
745,16,7,31
746,6,5,20
747,25,2,26
748,0,0,0
749,0,0,0
750,4,0,21
751,4,0,19
752,4,1,26
753,9,1,21
754,10,5,17
755,6,6,19
756,0,3,10
757,11,2,23
758,8,6,14
759,0,0,0
760,0,0,7
761,0,0,0
762,13,1,27
763,0,3,8
764,6,3,15
765,0,2,11
766,4,2,8
